Word	Part of Speech	Origin	Definition
aculeate	adjective	Latin	having or resembling a stinger or barb
acumen	noun	Latin	a tapering point
adagio	adjective	Italian	leisurely
adamantine	adjective	Middle English	having the hardness of a diamond
addax	noun	Latin	large antelope with lightly spiraled horns of desert regions of northern Africa
adherent	adjective	Middle English	sticking fast
adiabatic	adjective	Greek	occurring without loss or gain of heat
adipose	adjective	New Latin	composed of animal fat
adjudication	noun	French or Late Latin	the final judgment in a legal proceeding
adjunct	adjective	Latin	of or relating to a person who is subordinate to another
adjutant	noun	Latin	an officer who acts as military assistant to a more senior officer
adolescent	adjective	French	in the state of development between puberty and maturity
adventitious	adjective	Latin	associated by chance and not an integral part
advocate	noun	Middle English	a person who pleads for a cause or propounds an idea
aepyornis	noun	New Latin	huge extinct flightless bird of Madagascar
Aesir	noun	Old Norse	the chief race of gods living at Asgard
affability	noun	Middle English	a disposition to be friendly and approachable
affenpinscher	noun	German	European breed of small dog resembling a terrier with dark wiry hair and a tufted muzzle
affianced	adjective	Middle English	pledged to be married
affidavit	noun	Medieval Latin	written declaration made under oath
affiliate	noun	Medieval Latin	a subsidiary or subordinate organization that is affiliated with another organization
affiliation	noun	Medieval Latin	the act of becoming formally connected or joined
afflatus	noun	Latin	a strong creative impulse
afghan	adjective	Persian	of or relating to or characteristic of Afghanistan or its people
Afrikaans	adjective	Afrikaans	belonging or relating to white people of South Africa whose ancestors were Dutch or to their language
agape	adjective	Late Latin	with the mouth wide open as in wonder or awe
agglomerate	adjective	Latin	clustered together but not coherent
agglutinate	adjective	Latin	united as if by glue
aggrandizement	noun	French	the act of increasing the wealth or prestige or power or scope of something
aggravate	verb	Latin	make worse
aggregate	adjective	Middle English	gathered or tending to gather into a mass or whole
agio	noun	Italian	a fee charged for exchanging currencies
agnomen	noun	Latin	an additional name or an epithet appended to a name
agnostic	adjective	Greek	uncertain of all claims to knowledge
agoraphobia	noun	New Latin	a morbid fear of open spaces
agrestic	adjective	Latin	rustic and uncouth
ahimsa	noun	Sanskrit	a Buddhist and Hindu and especially Jainist doctrine holding that all forms of life are sacred and urging the avoidance of violence
ailanthus	noun	New Latin	any of several deciduous Asian trees of the genus Ailanthus
aileron	noun	French	an airfoil that controls lateral motion
Ailurus	noun	New Latin	lesser pandas
aioli	noun	Occitan	garlic mayonnaise
alabaster	adjective	Middle English	of or resembling alabaster
albedo	noun	Late Latin	the ratio of reflected to incident light
alcazar	noun	Spanish	any of various Spanish fortresses or palaces built by the Moors
alchemy	noun	Middle English	a pseudoscientific forerunner of chemistry in medieval times
algorism	noun	Middle English	computation with Arabic figures
alibi	noun	Latin	a defense by an accused person purporting to show that he or she could not have committed the crime in question
alkali	noun	Middle English	a mixture of soluble salts found in arid soils and some bodies of water
allargando	adjective	Italian	gradually decreasing in tempo and broadening in manner
alleviation	noun	Late Latin	the act of reducing something unpleasant
allium	noun	New Latin	large genus of perennial and biennial pungent bulbous plants: garlic
alluvium	noun	Medieval Latin	clay or silt or gravel carried by rushing streams and deposited where the stream slows down
almoner	noun	Middle English	a social-service worker in a hospital
alopecia	noun	Middle English	loss of hair or loss of wool or feathers
alpaca	noun	Spanish	domesticated llama with long silky fleece
alstroemeria	noun	New Latin	any of various South American plants of the genus Alstroemeria valued for their handsome umbels of beautiful flowers
altazimuth	noun	International Scientific Vocabulary	an instrument that measures the altitude and azimuth of celestial bodies
altocumulus	noun	New Latin	a cumulus cloud at an intermediate altitude of 2 or 3 miles
altricial	adjective	Latin	naked and blind and dependent on parents for food
aluminum	noun	New Latin	a silvery ductile metallic element found primarily in bauxite
alyssum	noun	New Latin	a genus of the family Cruciferae
amanuensis	noun	Latin	someone skilled in the transcription of speech
amaranth	noun	Latin	any of various plants of the genus Amaranthus having dense plumes of green or red flowers
amaryllis	noun	New Latin	bulbous plant having showy white to reddish flowers
amative	adjective	Medieval Latin	inclined toward or displaying love
ambivalent	adjective	International Scientific Vocabulary	uncertain or unable to decide about what course to follow
amblyopia	noun	New Latin	visual impairment without apparent organic pathology
ambrosial	adjective	Latin	worthy of the gods
ambuscade	noun	Middle French	the act of concealing yourself and lying in wait to attack by surprise
amenable	adjective	Anglo-French	disposed or willing to comply
amerce	verb	Middle English	punish by a fine imposed arbitrarily by the discretion of the court
amercement	noun	Middle English	money extracted as a penalty
amethyst	adjective	Middle English	of a moderate purple color
amicable	adjective	Middle English	characterized by friendship and good will
amnesty	noun	Greek	the formal act of liberating someone
amniocentesis	noun	New Latin	extraction by centesis of amniotic fluid from a pregnant woman to aid in the diagnosis of fetal abnormalities
amontillado	noun	Spanish	pale medium-dry sherry from Spain
amphibious	adjective	Greek	operating or living on land and in water
amphisbaena	noun	Latin	type genus of the Amphisbaenidae
ampulla	noun	Middle English	a flask that has two handles
amulet	noun	Latin	a trinket or piece of jewelry thought to be a protection against evil
amygdala	noun	New Latin	an almond-shaped neural structure in the anterior part of the temporal lobe of the cerebrum
amylolysis	noun	New Latin	conversion of starch to sugar
amyotonia	noun	New Latin	lack of normal muscular tension or tonus
anabolic	adjective	International Scientific Vocabulary	characterized by or promoting constructive metabolism
anacoluthon	noun	Late Latin	an abrupt change within a sentence from one syntactic structure to another
anadiplosis	noun	Late Latin	repetition of the final words of a sentence or line at the beginning of the next
anadromous	adjective	Greek	migrating from the sea to fresh water to spawn
anaglyph	noun	Late Latin	anything carved in low relief
anagogic	adjective	Late Latin	based on or exemplifying anagoge
analects	noun	New Latin	a collection of excerpts from a literary work
anamnesis	noun	New Latin	the ability to recall past occurrences
Ananias	noun	Greek	a habitual liar
anaphora	noun	Late Latin	using a pronoun or similar word instead of repeating a word used earlier
anaphylaxis	noun	New Latin	hypersensitivity reaction to the ingestion or injection of a substance resulting from prior contact with a substance
anastomosis	noun	Late Latin	a natural or surgical joining of parts or branches of tubular structures so as to make or become continuous
anastrophe	noun	Medieval Latin	the reversal of the normal order of words
anathema	noun	Late Latin	a formal ecclesiastical curse accompanied by excommunication
anatomy	noun	Late Latin	a detailed analysis
andante	adjective	Italian	moderately slow
androgynous	adjective	Latin	having both male and female characteristics
anemone	noun	Latin	any woodland plant of the genus Anemone grown for its beautiful flowers and whorls of dissected leaves
aneroid	adjective	French	containing no liquid or actuated without the use of liquid
anhedonia	noun	New Latin	an inability to experience pleasure
animus	noun	Latin	a feeling of ill will arousing active hostility
aniseikonia	noun	New Latin	visual defect in which the shape and size of an ocular image differ in the two eyes
ankylosaur	noun	New Latin	having the back covered with thick bony plates
annihilate	verb	Late Latin	kill in large numbers
annuity	noun	Middle English	income from capital investment paid in a series of regular payments
annul	verb	Middle English	annul by recalling or rescinding
anodyne	adjective	Latin	capable of relieving pain
anthesis	noun	New Latin	the time and process of budding and unfolding of blossoms
anthracite	noun	Greek	a hard natural coal that burns slowly and gives intense heat
anthropomorphic	adjective	Late Latin	suggesting human characteristics for animals or inanimate things
antigen	noun	German	any substance that stimulates an immune response in the body
antimony	noun	Middle English	a metallic element having four allotropic forms
antinomy	noun	German	a contradiction between two statements that seem equally reasonable
antipasto	noun	Italian	a course of appetizers in an Italian meal
antiphrasis	noun	Late Latin	the use of a word in a sense opposite to its normal sense
antipodes	noun	Middle English	any two places or regions on diametrically opposite sides of the Earth
antithesis	noun	Late Latin	the juxtaposition of contrasting words or ideas to give a feeling of balance
apartheid	noun	Afrikaans	a social policy or racial segregation involving political and economic and legal discrimination against people who are not Whites
aperture	noun	Middle English	an man-made opening
aphasia	noun	New Latin	inability to use or understand language because of a brain lesion
aphelion	noun	New Latin	apoapsis in solar orbit
aphorism	noun	Middle French	a short pithy instructive saying
aplomb	noun	French	great coolness and composure under strain
apocalypse	noun	Middle English	a cosmic cataclysm in which God destroys the ruling powers of evil
apocope	noun	Late Latin	abbreviation of a word by omitting the final sound or sounds
apocrypha	noun	Medieval Latin	14 books of the Old Testament included in the Vulgate but omitted in Jewish and Protestant versions of the Bible
apodictic	adjective	Latin	of a proposition
apogee	noun	French	apoapsis in Earth orbit
apologetic	adjective	Greek	offering or expressing apology
apologue	noun	French	a short moral story
apoplexy	noun	Middle English	a sudden loss of consciousness resulting when the rupture or occlusion of a blood vessel leads to oxygen lack in the brain
aposiopesis	noun	Late Latin	breaking off in the middle of a sentence
apothecary	noun	Middle English	a health professional trained in the art of preparing and dispensing drugs
apotheosis	noun	Late Latin	the elevation of a person
apotheosize	verb	Late Latin	deify or glorify
apotropaic	adjective	Greek	having the power to prevent evil or bad luck
Appaloosa	noun	origin unknown	a hardy breed of saddle horse developed in western North America and characteristically having a spotted rump
appetency	noun	Latin	a feeling of craving something
appoggiatura	noun	Italian	an embellishing note usually written in smaller size
apprentice	noun	Middle English	works for an expert to learn a trade
appropriate	adjective	Middle English	suitable for a particular person or place or condition etc
approximate	adjective	Late Latin	located close together
appurtenant	adjective	Middle English	furnishing added support
apropos	adjective	French	of an appropriate or pertinent nature
apteryx	noun	New Latin	nocturnal flightless bird of New Zealand having a long neck and stout legs
aquiline	adjective	Latin	curved down like an eagle's beak
arabesque	noun	French	an ornament that interlaces simulated foliage in an intricate design
arbitrage	noun	French	a kind of hedged investment meant to capture slight differences in price
arborvitae	noun	New Latin	any of several Asian and North American conifers of the genera Thuja and Thujopsis
arcanum	noun	Latin	information known only to a special group
archaism	noun	New Latin	the use of an archaic expression
archangel	noun	Middle English	an angel ranked above the highest rank in the celestial hierarchy
archimandrite	noun	Late Latin	the superior of an abbey of monks
Areca	noun	New Latin	any of several tall tropical palms native to southeastern Asia having egg-shaped nuts
arenaceous	adjective	Latin	resembling or containing sand
arenicolous	adjective	Latin	growing or living or burrowing in sand
Areopagus	noun	Latin	the highest governmental assembly in ancient Athens
arete	noun	French	a sharp narrow ridge found in rugged mountains
Armageddon	noun	Greek	any catastrophically destructive battle
armamentarium	noun	Latin	the collection of equipment and methods used in the practice of medicine
armiger	noun	Medieval Latin	a nobleman entitled to bear heraldic arms
armilla	noun	Latin	a bracelet worn around the wrist or arm
arnica	noun	New Latin	an ointment used in treating bruises
arpeggio	noun	Italian	a chord whose notes are played in rapid succession rather than simultaneously
arraignment	noun	Middle English	a legal document calling someone to court to answer an indictment
arrogate	verb	Latin	make undue claims to having
artesian	adjective	French	rising to the surface under internal hydrostatic pressure
article	noun	Middle English	one of a class of artifacts
artifice	noun	Middle French	a deceptive maneuver
artillery	noun	Middle English	large but transportable armament
artiste	noun	French	a public performer
arundinaceous	adjective	Latin	of or relating to or resembling reedlike plants of the genus Arundinaria
arytenoid	noun	New Latin	either of two small cartilages at the back of the larynx to which the vocal folds are attached
asana	noun	Sanskrit	a posture or manner of sitting
ascetic	adjective	Greek	practicing great self-denial
asphodel	noun	Latin	any of various chiefly Mediterranean plants of the genera Asphodeline and Asphodelus having linear leaves and racemes of white or pink or yellow flowers
asseveration	noun	Latin	a declaration that is made emphatically
assimilate	verb	Middle English	become similar to one's environment
assonance	noun	French	the repetition of similar vowels in the stressed syllables of successive words
assuage	verb	Middle English	"provide physical relief, as from pain"
assurgent	adjective	Latin	growing or extending upward
astilbe	noun	New Latin	any plant of the genus Astilbe having compound leaves and showy panicles of tiny colorful flowers
astringe	verb	Latin	become constricted or compressed
astuteness	noun	Latin	the intellectual ability to penetrate deeply into ideas
asyndeton	noun	Late Latin	the omission of conjunctions where they would normally be used
atavistic	adjective	French	characteristic of an atavist
atelier	noun	French	a studio especially for an artist or designer
athanor	noun	Middle English	a furnace that feeds itself so as to maintain a uniform temperature
atherosclerosis	noun	New Latin	a stage of arteriosclerosis involving fatty deposits inside the arterial walls
atrabilious	adjective	Latin	irritable as if suffering from indigestion
atrocious	adjective	Latin	provoking horror
auctorial	adjective	Latin	of or by or typical of an author
audacious	adjective	Middle French	disposed to venture or take risks
audible	adjective	Late Latin	heard or perceptible by the ear
augment	verb	Middle English	enlarge or increase
aureate	adjective	Middle English	having the deep slightly brownish color of gold
auricle	noun	Latin	the externally visible cartilaginous structure of the external ear
auriferous	adjective	Latin	containing gold
auscultation	noun	Latin	listening to sounds within the body
auspex	noun	Latin	a religious official who interpreted omens to guide public policy
auspicate	verb	Latin	commence in a manner calculated to bring good luck
auspices	noun	Latin	kindly endorsement and guidance
Australopithecus	noun	New Latin	extinct genus of African hominid
auteur	noun	French	a filmmaker who has a personal style and keeps creative control over his or her works
autobahn	noun	German	an expressway in a German-speaking country
autodidact	noun	Greek	a person who has taught himself
autolysis	noun	New Latin	lysis of plant or animal tissue by an internal process
autumnal	adjective	Middle English	of or characteristic of or occurring in autumn
auxiliary	adjective	Latin	functioning in a subsidiary or supporting capacity
avarice	noun	Middle English	reprehensible acquisitiveness
avifauna	noun	New Latin	the birds of a particular region or period
avocet	noun	French and Italian	long-legged web-footed black-and-white shorebird with slender upward-curving bill
avoirdupois	noun	Middle English	a system of weights based on the 16-ounce pound
avuncular	adjective	Latin	like an uncle in kindness or indulgence
ayatollah	noun	Persian	a high-ranking Shiite religious leader who is regarded as an authority on religious law and its interpretation and who has political power as well
Ayurveda	noun	Sanskrit	an ancient medical treatise summarizing the Hindu art of healing and prolonging life
azalea	noun	New Latin	any of numerous ornamental shrubs grown for their showy flowers of various colors
azimuth	noun	Middle English	the azimuth of a celestial body is the angle between the vertical plane containing it and the plane of the meridian
babka	noun	Polish	a coffee cake flavored with orange rind and raisins and almonds
baccalaureate	noun	Medieval Latin	the degree of bachelor conferred by universities and colleges
bacciferous	adjective	Latin	producing or bearing berries
bacitracin	noun	New Latin	a polypeptide antibiotic of known chemical structure effective against several types of Gram-positive organisms
bacteriology	noun	International Scientific Vocabulary	the branch of medical science that studies bacteria in relation to disease
bacteriolytic	adjective	New Latin	of or relating to or causing bacteriolysis
baculiform	adjective	Latin	formed like a bacillus
badinage	noun	French	frivolous banter
baedeker	noun	Karl	any of a series of travel guidebooks published by the German firm founded by Karl Baedeker
Baedeker	noun	Karl	any of a series of travel guidebooks published by the German firm founded by Karl Baedeker
bailey	noun	Middle English	the outer defensive wall that surrounds the outer courtyard of a castle
bailiff	noun	Middle English	an officer of the court who is employed to execute writs and processes and make arrests etc.
bailiwick	noun	Middle English	the area over which a bailiff has jurisdiction
baize	noun	Middle French	a bright green fabric napped to resemble felt
balalaika	noun	Russian	a stringed instrument that has triangular body and three strings
balderdash	noun	origin unknown	trivial nonsense
baleen	noun	Middle English	a horny material from the upper jaws of certain whales
balsam	noun	Latin	an ointment containing a fragrant resin
balustrade	noun	French	a railing at the side of a staircase or balcony to prevent people from falling
bamboozle	verb	origin unknown	conceal one's true motives from especially by elaborately feigning good intentions so as to gain an end
banausic	adjective	Greek	ordinary and not refined
banzai	noun	Japanese	a Japanese cheer of enthusiasm or triumph
baptismal	adjective	Middle English	of or relating to baptism
barbarous	adjective	Latin	primitive in customs and culture
barbellate	adjective	New Latin	having or covered with protective barbs or quills or spines or thorns or setae etc.
barnacle	noun	Middle English	marine crustaceans with feathery food-catching appendages
baroque	adjective	French	having elaborate symmetrical ornamentation
barouche	noun	German	a horse-drawn carriage having four wheels
barratry	noun	Middle English	the offence of vexatiously persisting in inciting lawsuits and quarrels
barrenness	noun	Middle English	the state of having no children or being unable to have children
barricade	noun	French	a barrier
barrio	noun	Spanish	an urban area in a Spanish-speaking country
barrister	noun	Middle English	a British lawyer who speaks in the higher courts of law
baryon	noun	International Scientific Vocabulary	any of the elementary particles having a mass equal to or greater than that of a proton and that participate in strong interactions
bascule	noun	French	a structure or device in which one end is counterbalanced by the other
basilisk	noun	Middle English	small crested arboreal lizard able to run on its hind legs
bastion	noun	Middle French	projecting part of a rampart or other fortification
batik	noun	Javanese	a dyed fabric
batiste	noun	French	a thin plain-weave cotton or linen fabric
battalion	noun	Middle French	an army unit usually consisting of a headquarters and three or more companies
battledore	noun	Middle English	an ancient racket game
Bauhaus	adjective	German	of, relating to, or influenced by a school of design noted especially for a program that synthesized technology, craftsmanship, and design aesthetics
beadle	noun	Middle English	a minor parish official who serves as an usher and preserves order at services
beatitude	noun	Latin	one of the eight sayings of Jesus at the beginning of the Sermon on the Mount
beggar	noun	Middle English	a pauper who lives by begging
begonia	noun	New Latin	any of numerous plants of the genus Begonia grown for their attractive glossy asymmetrical leaves and colorful flowers in usually terminal cymes or racemes
beguine	noun	Middle French	a ballroom dance that originated in the French West Indies
beleaguer	verb	Dutch	surround so as to force to give up
bellicose	adjective	Middle English	having or showing a ready disposition to fight
bellwether	noun	Middle English	sheep that leads the herd often wearing a bell
benison	noun	Middle English	a spoken blessing
berceuse	noun	French	a quiet song intended to lull a child to sleep
bergamot	noun	French	small tree with pear-shaped fruit whose oil is used in perfumery
berserker	noun	Old Norse	one of the ancient Norse warriors legendary for working themselves into a frenzy before a battle and fighting with reckless savagery and insane fury
besom	noun	Middle English	a broom made of twigs tied together on a long handle
bestiary	noun	Medieval Latin	a medieval book with allegorical and amusing descriptions of real and fabled animals
bevel	noun	Middle French	a hand tool consisting of two rules that are hinged together so you can draw or measure angles of any size
bezique	noun	French	a card game played with a pack of forty-eight cards
bialy	noun	Yiddish	flat crusty-bottomed onion roll
bibliothecarial	adjective	Latin	of or relating to a library or bibliotheca or a librarian
bibulous	adjective	Latin	given to or marked by the consumption of alcohol
biliousness	noun	Middle French	gastric distress caused by a disorder of the liver or gall bladder
bilirubin	noun	Latin	an orange-yellow pigment in the bile that forms as a product of hemoglobin
billabong	noun	Wiradhuri	a branch of a river made by water flowing from the main stream only when the water level is high
billiards	noun	Middle French	any of several games played on rectangular cloth-covered table in which long tapering cue sticks are used to propel ivory balls
binomial	adjective	New Latin	relating to binomials
binturong	noun	Malay	arboreal civet of Asia having a long prehensile tail and shaggy black hair
bioluminescent	adjective	International Scientific Vocabulary	emitting light
bishopric	noun	Middle English	the territorial jurisdiction of a bishop
bismuth	noun	New Latin	a heavy brittle diamagnetic trivalent metallic element
bivouac	noun	French	temporary living quarters specially built by the army for soldiers
bizarre	adjective	French	conspicuously or grossly unconventional or unusual
blancmange	noun	Middle English	sweet almond-flavored milk pudding thickened with gelatin or cornstarch
blanquillo	noun	Spanish	important marine food fishes
blastema	noun	New Latin	a mass of undifferentiated cells from which an organ or body part develops
blithely	adverb	Middle English	in a joyous manner
blitzkrieg	noun	German	a swift and violent military offensive with intensive aerial bombardment
blizzard	noun	origin unknown	a storm with widespread snowfall accompanied by strong winds
bodkin	noun	Middle English	a blunt needle for threading ribbon through loops
bolide	noun	French	an especially luminous meteor
Bolshevik	adjective	Russian	of or relating to Bolshevism
bombinate	verb	New Latin	make a buzzing sound
bonanza	noun	Spanish	an especially rich vein of precious ore
bordelaise	noun	French	brown sauce with beef marrow and red wine
Bordelaise	noun	French	brown sauce with beef marrow and red wine
Borzoi	noun	Russian	tall fast-moving dog breed
Boswell	noun	James	a devoted admirer and recorder of another's words and deeds
botryoidal	adjective	Greek	resembling a cluster of grapes in form
boudoir	noun	French	a lady's bedroom or private sitting room
bouffant	adjective	French	being puffed out
bouillabaisse	noun	French	a highly seasoned fish stew made with at least two kinds of fish
bouillon	noun	French	a clear seasoned broth
boulevardier	noun	French	a visitor of a city boulevard
bourgeois	adjective	Middle French	belonging to the middle class
bourgeoisie	noun	French	the social class between the lower and upper classes
boutonniere	noun	French	a flower that is worn in a buttonhole
bowdlerize	verb	Thomas	edit by omitting or modifying parts considered indelicate
brachypterous	adjective	Greek	having very short or rudimentary wings
bracteolate	adjective	New Latin	having bracteoles
brasserie	noun	French	a small restaurant serving beer and wine as well as food
brattice	noun	Middle English	a partition of planks or cloth used especially to control mine ventilation
bravado	noun	Middle French	a swaggering show of courage
bravura	noun	Italian	brilliant and showy technical skill
brazen	adjective	Middle English	made of or resembling brass
breccia	noun	Italian	a rudaceous rock consisting of sharp fragments embedded in clay or sand
brevet	noun	Middle English	a document entitling a commissioned officer to hold a higher rank temporarily
brevity	noun	Latin	the attribute of being brief or fleeting
brigadier	noun	French	a general officer ranking below a major general
brigantine	noun	Middle French	a two-masted sailing ship that is square-rigged except for a fore-and-aft mainsail
brioche	noun	French	a light roll rich with eggs and butter and somewhat sweet
brisance	noun	French	the shattering or crushing effect of a sudden release of energy as in an explosion
Briton	adjective	Middle English	characteristic of or associated with the Britons
brochette	noun	French	a small spit or skewer
bronchiolitis	noun	New Latin	inflammation of the membranes lining the bronchioles
bronchoscope	noun	International Scientific Vocabulary	a slender tubular instrument used to examine the bronchial tubes
brouhaha	noun	French	a confused disturbance far greater than its cause merits
brucellosis	noun	New Latin	infectious bacterial disease of human beings transmitted by contact with infected animals or infected meat or milk products
bruit	verb	Middle English	tell or spread rumors
brumous	adjective	French	filled or abounding with fog or mist
brutal	adjective	Middle English	causing suffering and pain
buccal	adjective	Latin	toward the inside of the cheek
buccaneer	noun	French	someone who robs at sea or plunders the land from the sea without having a commission from any sovereign nation
bucolic	adjective	Latin	relating to shepherds or herdsmen or devoted to raising sheep or cattle
buddha	noun	Sanskrit	founder of Buddhism
Buddha	noun	Sanskrit	founder of Buddhism
bulbul	noun	Persian	nightingale spoken of in Persian poetry
bulgur	noun	Turkish	parched crushed wheat
bulletin	noun	French	a brief report
bungalow	noun	Hindi	a small house with a single story
bureaucracy	noun	French	any organization in which action is obstructed by insistence on unnecessary procedures and red tape
burgoo	noun	origin unknown	thick spicy stew of whatever meat and whatever vegetables are available
burin	noun	French	a chisel of tempered steel with a sharp point
butadiene	noun	International Scientific Vocabulary	a gaseous hydrocarbon C4H6
butyraceous	adjective	Latin	having the qualities of butter or yielding or containing a substance like butter
buzzard	noun	Middle English	the common European short-winged hawk
byrnie	noun	Middle English	a long tunic of chain mail formerly worn as defensive armor
cabochon	noun	Middle French	a highly polished gem that is cut convexly but without facets
cabotage	noun	French	trade or transport in coastal waters or airspace
cachalot	noun	French	large whale with a large cavity in the head containing spermaceti and oil
cache	noun	French	a hidden storage space
cachet	noun	French	a seal on a letter
cachexia	noun	Late Latin	any general reduction in vitality and strength of body and mind resulting from a debilitating chronic disease
cachinnate	verb	Latin	laugh loudly and in an unrestrained way
cachinnation	noun	Latin	loud convulsive laughter
cacuminal	adjective	International Scientific Vocabulary	pronounced with the tip of the tongue turned back toward the hard palate
cadaver	noun	Latin	the dead body of a human being
cadre	noun	French	a nucleus of military personnel capable of expansion
caduceus	noun	Latin	an insignia used by the medical profession
caducous	adjective	Latin	shed at an early stage of development
caisson	noun	French	large watertight chamber used for construction under water
caitiff	adjective	Middle English	despicably mean and cowardly
cajolery	noun	French	flattery intended to persuade
calamity	noun	Middle English	an event resulting in great loss and misfortune
calceus	noun	Latin	a shoe covering the ankle
calefactory	adjective	Medieval Latin	serving to heat
caliche	noun	American Spanish	nitrate-bearing rock or gravel of the sodium nitrate deposits of Chile and Peru
calico	adjective	India	made of calico or resembling calico in being patterned
caliginous	adjective	Middle French or Latin	dark and misty and gloomy
calisthenics	noun	Greek	light exercises designed to promote general fitness
callow	adjective	Middle English	young and inexperienced
calque	noun	French	an expression introduced into one language by translating it from another language
calumet	noun	American French	a highly decorated ceremonial pipe of Amerindians
calumny	noun	Middle English	an abusive attack on a person's character or good name
camaraderie	noun	French	the quality of affording easy familiarity and sociability
camembert	noun	French	rich soft creamy French cheese
Camembert	noun	French	rich soft creamy French cheese
camorra	noun	Italian	a secret society in Naples notorious for violence and blackmail
camouflage	noun	French	device or stratagem for concealment or deceit
campaign	noun	French	an overland journey by hunters
campanile	noun	Italian	a bell tower
campestral	adjective	Latin	of fields or open country
camphor	noun	Middle English	a resin obtained from the camphor tree
canaliculate	adjective	Latin	having thin parallel channels
canard	noun	French	a deliberately misleading fabrication
canasta	noun	Spanish	a form of rummy using two decks of cards and four jokers
cancellous	adjective	New Latin	having an open or latticed or porous structure
candor	noun	French and Latin	the quality of being honest and straightforward in attitude and speech
canescent	adjective	Latin	covered with fine whitish hairs or down
canicular	adjective	Middle English	relating to or especially immediately preceding or following the heliacal rising of Canicula
cannibal	noun	New Latin	a person who eats human flesh
cantabile	adjective	Italian	smooth and flowing
cantillate	verb	Latin	recite with musical intonation
cantle	noun	Middle English	the back of a saddle seat
capacious	adjective	Latin	large in capacity
caparison	noun	Middle French	"stable gear consisting of a decorated covering for a horse, especially for a warhorse"
capercaillie	noun	Scottish Gaelic	large black Old World grouse
capillary	adjective	French or Latin	long and slender with a very small internal diameter
cappelletti	noun	Italian	small circular or square cases of dough with savory fillings
caprifig	noun	Middle English	wild variety of the common fig used to facilitate pollination of certain figs
capsicum	noun	New Latin	any of various tropical plants of the genus Capsicum bearing peppers
caracole	verb	French	"make a half turn on a horse, in dressage"
carafe	noun	French	a bottle with a stopper
carambola	noun	Portuguese	deeply ridged yellow-brown tropical fruit
carapace	noun	French	hard outer covering or case of certain organisms such as arthropods and turtles
carbuncle	noun	Middle English	an infection larger than a boil and with several openings for discharge of pus
carcass	noun	Middle English	the dead body of an animal especially one slaughtered and dressed for food
carcinomatous	adjective	Latin	being or relating to carcinoma
caribbean	noun	New Latin	region including the Caribbean islands
Caribbean	noun	New Latin	region including the Caribbean islands
caricature	noun	Italian	a representation of a person that is exaggerated for comic effect
caries	noun	Latin	soft decayed area in a tooth
carillon	noun	French	set of bells hung in a bell tower
carioca	noun	Brazilian Portuguese	a lively ballroom dance that resembles the samba
carnage	noun	French	the savage and excessive killing of many people
carnassial	adjective	French	adapted for shearing flesh
carnauba	noun	Brazilian Portuguese	Brazilian fan palm having an edible root
carpophagous	adjective	Greek	feeding on fruit
cartel	noun	French	a consortium of independent organizations formed to limit competition by controlling the production and distribution of a product or service
Cartesian	adjective	New Latin	of or relating to Rene Descartes or his works
cartilage	noun	Middle English	tough elastic tissue
caryatid	noun	Latin	a supporting column carved in the shape of a person
casserole	noun	French	large deep dish in which food can be cooked and served
cassock	noun	Middle French	a black garment reaching down to the ankles
cassowary	noun	Malay	large black flightless bird of Australia and New Guinea having a horny head crest
